2014-08-31  2014100     01 06 09 10 14 16 11
2014-08-28	2014099	    01 05 10 11 13 32 14	358,086,522
2014-08-26	2014098	    02 13 17 20 29 31 07	353,151,800
2014-08-24 	2014097 	07 13 24 25 27 32 15 	390,727,104
2014-08-21 	2014096 	12 14 17 19 22 24 08 	357,432,576
2014-08-19 	2014095 	05 06 08 14 22 31 08 	348,187,212
2014-08-17 	2014094 	01 10 18 20 23 29 01 	394,513,356
2014-08-14 	2014093 	02 08 09 10 20 29 05 	361,310,882
2014-08-12 	2014092 	03 13 18 19 22 26 07 	355,694,942
2014-08-10 	2014091 	01 05 12 19 27 29 14 	395,683,536
2014-08-07 	2014090 	05 09 11 19 24 32 13 	361,007,810
2014-08-05 	2014089 	04 06 14 17 27 30 09 	349,996,988
2014-08-03 	2014088 	03 06 11 14 16 29 15 	378,895,304
2014-07-31 	2014087 	06 18 22 23 32 33 06 	346,294,212
2014-07-29 	2014086 	02 04 10 12 14 30 08 	342,885,520
2014-07-27 	2014085 	01 02 11 19 23 29 08 	383,964,576
2014-07-24 	2014084 	01 06 09 10 13 25 08 	348,439,746
2014-07-22 	2014083 	05 06 19 21 23 33 12 	342,671,260
2014-07-20 	2014082 	02 04 20 25 26 29 11 	376,072,870
2014-07-17 	2014081 	08 14 22 24 27 29 10 	345,588,442
2014-07-15 	2014080 	05 14 16 17 25 30 07 	339,602,048
2014-07-13 	2014079 	02 07 16 22 27 28 02 	371,546,996
2014-07-10 	2014078 	02 03 05 06 09 17 07 	340,877,252
2014-07-08 	2014077 	08 09 12 15 19 22 10 	335,080,206
2014-07-06 	2014076 	06 10 12 17 18 33 11 	375,634,222
2014-07-03 	2014075 	03 09 11 22 27 29 06 	341,705,034
2014-07-01 	2014074 	01 03 06 13 30 31 12 	333,005,878
2014-06-29 	2014073 	01 12 16 20 30 33 02 	368,813,894
2014-06-26 	2014072 	01 03 07 13 19 32 16 	324,184,472
2014-06-24 	2014071 	02 04 12 17 22 25 14 	332,837,230
2014-06-22 	2014070 	01 07 09 19 28 29 07 	381,932,126
2014-06-19 	2014069 	05 12 17 19 25 30 11 	344,427,596
2014-06-17 	2014068 	04 12 13 22 27 29 16 	333,498,724
2014-06-15 	2014067 	01 06 07 17 18 23 06 	369,752,334
2014-06-12 	2014066 	02 05 15 17 18 21 16 	326,106,482
2014-06-10 	2014065 	03 04 05 08 10 22 06 	331,291,864
2014-06-08 	2014064 	02 09 15 16 29 32 14 	362,553,032
2014-06-05 	2014063 	03 08 17 21 22 31 16 	318,559,312
2014-06-03 	2014062 	06 09 15 24 25 26 09 	324,555,900
2014-06-01 	2014061 	02 14 17 27 28 31 08 	348,086,982
2014-05-29 	2014060 	03 05 14 18 25 33 06 	332,537,430
2014-05-27 	2014059 	05 08 12 13 23 25 13 	332,914,310
2014-05-25 	2014058 	02 03 12 13 14 25 11 	395,239,936
2014-05-22 	2014057 	02 04 12 18 23 31 08 	357,051,002
2014-05-20 	2014056 	01 11 18 20 28 29 01 	355,820,816
2014-05-18 	2014055 	02 09 14 19 21 30 04 	399,255,230
2014-05-15 	2014054 	01 04 05 11 29 30 14 	362,404,232
2014-05-13 	2014053 	14 17 19 22 26 31 02 	357,050,160
2014-05-11 	2014052 	09 13 15 28 30 33 08 	388,520,458
2014-05-08 	2014051 	10 16 19 21 23 24 13 	355,097,144
2014-05-06 	2014050 	03 17 23 25 26 32 13 	356,974,970
2014-05-04 	2014049 	06 07 16 17 23 32 06 	395,100,460
2014-05-01 	2014048 	06 09 16 17 24 25 16 	328,158,768
2014-04-29 	2014047 	08 10 11 12 19 29 15 	367,083,108
2014-04-27 	2014046 	02 10 11 17 18 22 10 	407,325,576
2014-04-24 	2014045 	02 04 09 11 19 22 15 	375,431,708
2014-04-22 	2014044 	04 09 21 27 28 33 12 	373,074,342
2014-04-20 	2014043 	02 05 09 14 24 33 09 	415,843,112
2014-04-17 	2014042 	12 15 20 25 28 33 14 	373,018,334
2014-04-15 	2014041 	07 11 16 18 21 22 02 	365,242,842
2014-04-13 	2014040 	03 04 06 11 12 15 08 	406,009,192
2014-04-10 	2014039 	03 11 15 19 20 31 07 	363,687,932
2014-04-08 	2014038 	04 07 22 23 24 33 16 	356,364,376
2014-04-06 	2014037 	06 13 14 24 25 30 07 	385,617,546
2014-04-03 	2014036 	01 07 08 09 11 22 03 	378,585,748
2014-04-01 	2014035 	07 08 09 17 32 33 06 	385,901,784
2014-03-30 	2014034 	01 03 04 08 25 31 06 	432,189,956
2014-03-27 	2014033 	05 13 23 28 32 33 12 	403,193,612
2014-03-25 	2014032 	01 02 14 22 29 33 07 	397,424,848
2014-03-23 	2014031 	04 10 16 17 21 27 14 	443,595,958
2014-03-20 	2014030 	12 18 19 23 24 30 10 	396,594,924
2014-03-18 	2014029 	02 07 14 16 21 29 14 	396,072,528
2014-03-16 	2014028 	06 16 21 27 30 32 05 	435,709,368
2014-03-13 	2014027 	08 10 14 16 30 31 01 	384,105,632
2014-03-11 	2014026 	01 02 05 06 11 23 14 	376,888,174
2014-03-09 	2014025 	01 05 10 14 16 30 16 	420,328,670
2014-03-06 	2014024 	08 10 16 20 23 30 09 	380,942,014
2014-03-04 	2014023 	07 09 13 17 21 22 10 	379,325,720
2014-03-02 	2014022 	04 06 07 10 21 26 16 	422,477,050
2014-02-27 	2014021 	08 10 15 17 22 29 12 	376,012,996
